Endpoint,HTTP Method,Database Access Method,Tables Accessed,Connection Type,Description
/api/charts-for-review,GET,execute_with_connection,time_series_metadata,time_series_data,anomalies,maps,Pooled Connection,Get charts from various sources for AI review
/api/chart/{chart_id},GET,execute_with_connection,time_series_metadata,time_series_data,Pooled Connection,Get specific chart by ID with metadata and data points
/api/active-charts,GET,execute_with_connection,time_series_metadata,Pooled Connection,Get active charts with optional filtering
/api/chart-by-metric,GET,execute_with_connection,time_series_metadata,time_series_data,Pooled Connection,Get charts for specific metric and district
/api/recent-charts-summary,GET,execute_with_connection,time_series_metadata,Pooled Connection,Get summary of recently created charts
/backend/api/chart/{chart_id},GET,execute_with_connection,time_series_metadata,time_series_data,Pooled Connection,Legacy endpoint for chart data
/backend/api/active-charts,GET,execute_with_connection,time_series_metadata,Pooled Connection,Legacy endpoint for active charts
/backend/api/chart-by-metric,GET,execute_with_connection,time_series_metadata,time_series_data,Pooled Connection,Legacy endpoint for chart by metric
/api/sessions/{session_id},GET,File System,logs/sessions/*.json,No Database,Get session data from JSON files
/conversation,GET,No Database,No Database,No Database,Serve conversation viewer page
/database-admin,GET,No Database,No Database,No Database,Serve database admin interface
/api/database-info,GET,get_postgres_connection,information_schema.tables,pg_database_size,Direct Connection,Get database information including status and size
/api/database-backup,POST,get_postgres_connection,All Tables,Direct Connection,Create database backup using pg_dump or Python
/api/download-backup/{filename},GET,File System,backups/*.sql,No Database,Download backup file
/api/database-restore,POST,get_postgres_connection,All Tables,Direct Connection,Restore database from uploaded backup
/api/session-logs-info,GET,File System,logs/sessions/*.json,No Database,Get information about session logs
/api/download-session-logs,GET,File System,logs/sessions/*.zip,No Database,Download all session logs as ZIP
/generate-dw-time-series,POST,get_postgres_connection,time_series_metadata,time_series_data,Direct Connection,Generate Datawrapper version of time series chart
/generate-dw-anomaly,POST,No Database,No Database,No Database,Generate Datawrapper version of anomaly chart
/generate-dw-charts-batch,POST,get_postgres_connection,time_series_metadata,anomalies,Direct Connection,Generate multiple DW charts for a metric in batch
/update-chart-metadata,POST,get_postgres_connection,time_series_metadata,Direct Connection,Update chart metadata with DW URL
/update-anomaly-metadata,POST,get_postgres_connection,anomalies,Direct Connection,Update anomaly metadata with DW URL
/api/chart-metadata/{chart_id},GET,get_postgres_connection,time_series_metadata,Direct Connection,Get chart metadata including DW URL
/api/anomaly-metadata/{anomaly_id},GET,get_postgres_connection,anomalies,Direct Connection,Get anomaly metadata including DW URL
/run-evals,GET,No Database,No Database,No Database,Run single eval with specified query
/run-eval-streaming,POST,get_eval_by_id,evals,Pooled Connection,Run specific eval with streaming output
/api/eval-groups,GET,get_eval_groups,eval_groups,Pooled Connection,Get eval groups with optional filtering
/api/evals,GET,get_evals,evals,Pooled Connection,Get evals with optional filtering
/api/evals/{eval_id},GET,get_eval_by_id,evals,Pooled Connection,Get specific eval by ID
/api/eval-groups,POST,create_eval_group,eval_groups,Pooled Connection,Create new eval group
/api/evals,POST,create_eval,evals,Pooled Connection,Create new eval
/api/run-eval/{eval_id},POST,run_eval,eval_results,Pooled Connection,Run specific eval and save result
/api/save-streaming-eval-result/{eval_id},POST,save_eval_result,eval_results,Pooled Connection,Save results from streaming eval session
/api/run-eval-group/{group_id},POST,run_eval_group,eval_results,Pooled Connection,Run all evals in group and save results
/api/eval-results,GET,get_eval_results,eval_results,Pooled Connection,Get eval results with optional filtering
/api/eval-summary,GET,get_eval_summary,eval_results,Pooled Connection,Get summary of eval results
/api/eval-groups/{group_id},PUT,update_eval_group,eval_groups,Pooled Connection,Update eval group
/api/eval-groups/{group_id},DELETE,delete_eval_group,eval_groups,Pooled Connection,Delete eval group
/api/evals/{eval_id},PUT,update_eval,evals,Pooled Connection,Update eval
/api/evals/{eval_id},DELETE,delete_eval,evals,Pooled Connection,Delete eval
/run-all-evals,GET,No Database,No Database,No Database,Run all eval test cases
/run-model-comparison,GET,No Database,No Database,No Database,Run eval test cases across multiple models
/evals-interface,GET,No Database,No Database,No Database,Serve evals interface HTML page
/list-eval-logs,GET,File System,logs/evals/*.log,No Database,List all eval log files
/eval-log/{filename},GET,File System,logs/evals/*.log,No Database,Get content of specific eval log file
/get-latest-eval-summary,GET,File System,logs/evals/*.log,No Database,Get summary of latest eval results
/get-eval-history,GET,File System,logs/evals/*.log,No Database,Get detailed history of eval runs
/api/sessions-summary,GET,File System,logs/sessions/*.json,No Database,Get summary of all sessions from logs
/available-models,GET,No Database,No Database,No Database,Get available models for frontend dropdowns
/api/clear-explainer-sessions,POST,No Database,No Database,No Database,Clear all explainer agent sessions
/api/agent-config/{session_id},GET,No Database,No Database,No Database,Get configuration of specific agent session
/api/explain-change,POST,No Database,No Database,No Database,Explain data changes using explainer agent
/api/explain-change-streaming,POST,No Database,No Database,No Database,Streaming API for explainer agent chat
/api/langchain-explainer-streaming,POST,No Database,No Database,No Database,LangChain-based streaming API for explainer agent
/api/explain-metric-change,POST,No Database,No Database,No Database,Convenience API to explain specific metric change
/api/explainer-cancel,POST,No Database,No Database,No Database,Cancel current explainer session
/api/explainer-clear-session,POST,No Database,No Database,No Database,Clear specific explainer session
/api/explainer-clear-all-sessions,POST,No Database,No Database,No Database,Clear all explainer sessions
/api/explainer-sessions,GET,No Database,No Database,No Database,Get information about active explainer sessions
/api/test-explainer-session,GET,No Database,No Database,No Database,Test endpoint for explainer session management
/api/langchain-explainer-continue,POST,No Database,No Database,No Database,Continue LangChain-based streaming when agent hits stop condition
/api/test-session-logging,GET,No Database,No Database,No Database,Test endpoint for session logging verification
/map-generator,GET,No Database,No Database,No Database,Serve map generator page
/api/map-generator/metrics,GET,execute_with_connection,metrics,Pooled Connection,Get all available metrics for map generator dropdown
/api/anomalies/{metric_id},GET,execute_with_connection,anomalies,Pooled Connection,Get anomalies for specific metric with optional filters
/api/generate-map,POST,get_postgres_connection,metrics,Direct Connection,Generate new map using Mapbox
/map/{map_id},GET,get_postgres_connection,maps,Direct Connection,View specific map by ID
/api/maps,GET,get_postgres_connection,maps,Pooled Connection,Get recent maps optionally filtered by metric
/api/monthly-reports/available-models,GET,No Database,No Database,No Database,Get available models for newsletter generation
/api/monthly-reports/generate,POST,No Database,No Database,No Database,Generate monthly report with custom parameters
/api/monthly-reports/list,GET,No Database,No Database,No Database,Get list of all monthly reports
/api/monthly-reports/{report_id},DELETE,get_postgres_connection,reports,Direct Connection,Delete monthly report and associated files
/api/weekly-analysis,GET,No Database,No Database,No Database,Run weekly analysis for specified metrics or all default metrics
/api/weekly-analysis/report,GET,File System,output/weekly/*.md,No Database,Get latest weekly report
/api/weekly-analysis/metrics/{metric_id},GET,File System,output/weekly/*.md,No Database,Get weekly analysis for specific metric
/api/writeups,GET,No Database,No Database,No Database,Serve write-ups page
/api/writeups/create,POST,WriteupsManager,writeups,writeup_steps,writeup_responses,Pooled Connection,Create new write-up request
/api/writeups/list,GET,WriteupsManager,writeups,Pooled Connection,Get list of all write-ups
/api/writeups/{writeup_id},GET,WriteupsManager,writeups,Pooled Connection,Get details of specific write-up
/api/writeups/{writeup_id}/execute,POST,WriteupsManager,writeups,writeup_steps,writeup_responses,Pooled Connection,Execute write-up directly
/api/writeups/{writeup_id}/regenerate,POST,WriteupsManager,writeups,writeup_steps,writeup_responses,Pooled Connection,Regenerate write-up with new parameters
/api/writeups/{writeup_id},DELETE,WriteupsManager,writeups,writeup_steps,writeup_responses,Pooled Connection,Delete write-up and all associated data
/api/writeups/{writeup_id}/steps,GET,WriteupsManager,writeup_steps,Pooled Connection,Get execution steps for write-up
/api/writeups/{writeup_id}/responses,GET,WriteupsManager,writeup_responses,Pooled Connection,Get all responses for write-up
/api/writeups/{writeup_id}/content,GET,WriteupsManager,writeups,Pooled Connection,Get final content of completed write-up
/api/writeups/scheduled/list,GET,WriteupsManager,writeups,Pooled Connection,Get all scheduled write-ups that need to be executed
